File Name,File Type,Date,Number of Sentences,Sentiment Index
powell20180508a,FOMC_Speech,20180508,33,-0.03030303
quarles20191114a,FOMC_Speech,20191114,1,0
quarles20190210a,FOMC_Speech,20190210,2,0.5
jefferson20230327a,FOMC_Speech,20230327,100,0.09
waller20240215a,FOMC_Speech,20240215,13,-0.230769231
yellen20161014a,FOMC_Speech,20161014,106,-0.056603774
brainard20141203a,FOMC_Speech,20141203,22,0
bowman20230625a,FOMC_Speech,20230625,8,0.125
quarles20190206a,FOMC_Speech,20190206,8,0
bowman20210505a,FOMC_Speech,20210505,19,-0.210526316
cook20230922a,FOMC_Speech,20230922,30,0
waller20230414a,FOMC_Speech,20230414,32,0.65625
powell20160526a,FOMC_Speech,20160526,93,-0.129032258
bernanke20130518a,FOMC_Speech,20130518,12,0
bowman20190328a,FOMC_Speech,20190328,13,0
fischer20150630a,FOMC_Speech,20150630,67,-0.014925373
tarullo20130222a,FOMC_Speech,20130222,16,-0.1875
clarida20191101a,FOMC_Speech,20191101,38,-0.236842105
brainard20210218a,FOMC_Speech,20210218,3,0
brainard20150701a,FOMC_Speech,20150701,4,0
brainard20180419a,FOMC_Speech,20180419,12,0.4166666666666667
bowman20231018a,FOMC_Speech,20231018,6,0.16666666666666666
powell20190709a,FOMC_Speech,20190709,0,0
jefferson20231019a,FOMC_Speech,20231019,3,0
quarles20180226b,FOMC_Speech,20180226,1,0
raskin20130516a,FOMC_Speech,20130516,44,-0.204545455
tarullo20131018a,FOMC_Speech,20131018,1,0
waller20220603a,FOMC_Speech,20220603,6,0
tarullo20140225a,FOMC_Speech,20140225,61,0.081967213
powell20211109a,FOMC_Speech,20211109,8,-0.25
powell20210827a,FOMC_Speech,20210827,107,0.056074766355140186
powell20170623a,FOMC_Speech,20170623,2,0
powell20200827a,FOMC_Speech,20200827,114,-0.061403509
quarles20180504a,FOMC_Speech,20180504,33,0.060606061
waller20240517a,FOMC_Speech,20240517,1,0
raskin20120107a,FOMC_Speech,20120107,4,-0.5
clarida20210804a,FOMC_Speech,20210804,37,0.027027027
brainard20151106a,FOMC_Speech,20151106,42,-0.261904762
tarullo20130920a,FOMC_Speech,20130920,14,0.071428571
waller20221116a,FOMC_Speech,20221116,64,0.4375
